"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"RVI","Retail Value Inc.","26.57","$490.62M","2018","Finance","Real Estate","https://www.nasdaq.com/symbol/rvi",
"RETO","ReTo Eco-Solutions, Inc.","1.4","$31.86M","2017","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/reto",
"RVP","Retractable Technologies, Inc.","0.613","$20.02M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/rvp",
"RTRX","Retrophin, Inc.","23.34","$962.72M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rtrx",
"REVG","REV Group, Inc.","7.84","$491.44M","2017","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/revg",
"RVNC","Revance Therapeutics, Inc.","20.39","$754.18M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rvnc",
"RVEN","Reven Housing REIT, Inc.","3.44","$37.65M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/rven",
"REV","Revlon, Inc.","26.93","$1.42B","1996","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/rev",
"RVLT","Revolution Lighting Technologies, Inc.","0.4502","$10.59M","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/rvlt",
"RWLK","ReWalk Robotics Ltd","0.224","$12.09M","2014","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/rwlk",
"REX","REX American Resources Corporation","68.19","$431.45M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/rex",
"RNN","Rexahn Pharmaceuticals, Inc.","0.9447","$35.45M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rnn",
"REXR","Rexford Industrial Realty, Inc.","28.94","$2.69B","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/rexr",
"REXR^A","Rexford Industrial Realty, Inc.","22.64","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rexr^a",
"REXR^B","Rexford Industrial Realty, Inc.","22.66","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rexr^b",
"RXN","Rexnord Corporation","22.98","$2.41B","2012","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/rxn",
"RXN^A","Rexnord Corporation","50.86","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rxn^a",
"RFIL","RF Industries, Ltd.","7.47","$69.42M","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/rfil",
"RGCO","RGC Resources Inc.","29.75","$238.11M","n/a","Public Utilities","Oil & Gas Production","https://www.nasdaq.com/symbol/rgco",
"RH","RH","117.84","$2.5B","2012","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/rh",
"RYTM","Rhythm Pharmaceuticals, Inc.","26.64","$916.7M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rytm",
"RBBN","Ribbon Communications Inc. ","5.08","$541.12M","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/rbbn",
"RIBT","RiceBran Technologies","3.02","$86.85M","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/ribt",
"RELL","Richardson Electronics, Ltd.","8.62","$112.47M","1983","Consumer Non-Durables","Electronic Components","https://www.nasdaq.com/symbol/rell",
"RIGL","Rigel Pharmaceuticals, Inc.","2.36","$393.27M","2000","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rigl",
"RNET","RigNet, Inc.","14.03","$272.34M","2010","Consumer Services","Telecommunications Equipment","https://www.nasdaq.com/symbol/rnet",
"RMNI","Rimini Street, Inc.","5.56","$353.51M","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rmni",
"REI","Ring Energy, Inc.","5.65","$342.06M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/rei",
"RNG","Ringcentral, Inc.","82.17","$6.6B","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/rng",
"RIO","Rio Tinto Plc","49.25","$84.3B","2002","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/rio",
"RIOT","Riot Blockchain, Inc","1.65","$23.92M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/riot",
